id	uuid	observed_on	time_observed_at	time_zone	user_id	user_name	created_at	license	url	image_url	place_guess	latitude	longitude	positional_accuracy	species_guess	scientific_name	iconic_taxon_name	taxon_id	community_species	image_url_large	species	confidence	status	corrected_species	corrected_status	original_species
453567	d53ee387-4ac0-4369-82dc-b8a3b741d25a	2013-05-06	2013-05-06 19:49:27 +0900	Central Time (US & Canada)	23016	Eric Knight	2013-11-12 00:06:54 +0900	CC-BY-NC	http://www.inaturalist.org/observations/453567	https://inaturalist-open-data.s3.amazonaws.com/photos/572379/medium.jpg	Belize, BZ	17.742932	-88.027954	2024	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/572379/large.jpg	physalis	0.888461947441101	predicted	NA	NA	physalis
517507	96455ed7-3cee-4dd6-bd30-70fef85c5648	2014-01-15		Hawaii	2235		2014-02-02 11:14:49 +0900	CC-BY-NC-ND	http://www.inaturalist.org/observations/517507	https://static.inaturalist.org/photos/659627/medium.JPG	Barra de Cunhaú	-6.309288	-35.03183	1056	Caravela-portuguesa-do-Atlântico	Physalia physalis	Animalia	117302	physalis	https://static.inaturalist.org/photos/659627/large.JPG	physalis	1	labeled	NA	NA	physalis
532736	28e6a065-a375-470f-a56e-70aebc277b07	2013-06-15		Guadalajara	30651	Iliana Fonseca	2014-02-16 16:22:40 +0900		http://conabio.inaturalist.org/observations/532736	https://static.inaturalist.org/photos/2068802/medium.jpg	Los Arcos	20.543657	-105.28762	5	Physalia utriculus	Physalia utriculus	Animalia	1631517	utriculus	https://static.inaturalist.org/photos/2068802/large.jpg	utriculus	0.674678444862366	predicted	NA	NA	utriculus
534367	66592a1b-5512-42df-a5f1-79deec5d94b7	2012-11-07	2012-11-08 05:37:23 +0900	Eastern Time (US & Canada)	11314	Geomaira	2014-02-18 05:20:59 +0900		http://www.inaturalist.org/observations/534367	https://static.inaturalist.org/photos/679385/medium.JPG	Pedernales, Manabi, Ecuador	-0.051125	-80.14655	NA	Physalia utriculus	Physalia utriculus	Animalia	1631517	utriculus	https://static.inaturalist.org/photos/679385/large.JPG	utriculus	1	labeled	NA	NA	utriculus
539107	d729161f-a97a-4d3f-a88e-191ee312cce8	2014-01-04	2014-01-04 13:44:39 +0900	Auckland	2991		2014-02-22 16:19:40 +0900	CC-BY	http://www.inaturalist.org/observations/539107	https://inaturalist-open-data.s3.amazonaws.com/photos/685157/medium.JPG	Tongaporutu, New Zealand	-38.816706	174.585199	509	Physalia minuta	Physalia minuta	Animalia	1631518	minuta	https://inaturalist-open-data.s3.amazonaws.com/photos/685157/large.JPG	minuta	1	labeled	NA	NA	minuta
554236	dc748b6f-d589-43c1-aa6c-f084bbd76dfc	2014-02-12		Pacific Time (US & Canada)	27263	Wendy Feltham	2014-03-06 09:18:00 +0900		http://www.inaturalist.org/observations/554236	https://inaturalist-open-data.s3.amazonaws.com/photos/706502/medium.jpg	Swansea, Tasmania, Australia	-41.872922	148.295855	NA	Indo-Pacific Man-O-War	Physalia utriculus	Animalia	1631517	utriculus	https://inaturalist-open-data.s3.amazonaws.com/photos/706502/large.jpg	utriculus	1	labeled	NA	NA	utriculus
566074	53c108f1-248f-4d71-8808-68c2e9c6a8dc	2013-08-10		Central Time (US & Canada)	31273	Nick Ellis	2014-03-13 22:00:58 +0900	CC-BY-NC	http://www.inaturalist.org/observations/566074	https://inaturalist-open-data.s3.amazonaws.com/photos/719702/medium.JPG	Surfside Beach, TX	29.006581	-95.214434	29	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/719702/large.JPG	physalis	0.869357526302338	predicted	NA	NA	physalis
577376	a81eea6a-b315-49c0-874c-4695c859da0d	2014-03-21		Mexico City	29215	Axel Guillermo Castañon Gheno	2014-03-22 05:06:27 +0900	CC-BY-NC	http://conabio.inaturalist.org/observations/577376	https://inaturalist-open-data.s3.amazonaws.com/photos/734430/medium.jpg	Parque Nacional Sistema Arrecifal Veracruzano	19.176301	-96.091919	4133	Fragata Portuguesa	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/734430/large.jpg	physalis	0.837592840194702	predicted	NA	NA	physalis
618099	5f7992f3-047c-48d6-b3a6-7e0fd3ee2d85	2012-11-23	2012-11-23 22:54:28 +0900	Pacific Time (US & Canada)	35164		2014-04-11 04:12:49 +0900	CC-BY-NC	http://www.inaturalist.org/observations/618099	https://inaturalist-open-data.s3.amazonaws.com/photos/777363/medium.JPG	Palm Beach, New South Wales, Australia	-33.596776	151.325147	1088	Man O' Wars	Physalia utriculus	Animalia	1631517	utriculus	https://inaturalist-open-data.s3.amazonaws.com/photos/777363/large.JPG	megalista	NA	corrected_inital	megalista	corrected_inital	NA
618134	0cd13773-35c8-4030-bb06-ac4062df6772	2011-11-01	2011-11-01 21:09:34 +0900	Pacific Time (US & Canada)	35164		2014-04-11 04:39:24 +0900	CC-BY-NC	http://www.inaturalist.org/observations/618134	https://inaturalist-open-data.s3.amazonaws.com/photos/777399/medium.JPG	Manly, New South Wales, Australia	-33.798521	151.28612	699	Man O' Wars	Physalia utriculus	Animalia	1631517	utriculus	https://inaturalist-open-data.s3.amazonaws.com/photos/777399/large.JPG		0.720354437828064	corrected_inital		corrected_inital	physalis
635770	c9f38784-1bc9-40f2-ac7e-f4dbb0f0327e	2014-04-11	2014-04-12 13:38:25 +0900	Hawaii	34988	eustatic	2014-04-21 22:50:47 +0900	CC-BY-NC-SA	http://www.inaturalist.org/observations/635770	https://inaturalist-open-data.s3.amazonaws.com/photos/799620/medium.jpg	Cheniere Caminada, Louisiana, United States	29.172622	-90.079221	NA	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/799620/large.jpg	physalis	0.888273239135742	predicted	NA	NA	physalis
635868	3d41c802-f2e9-477e-9e58-fccaeeb040d0	2014-04-12	2014-04-13 07:49:05 +0900	Hawaii	34988	eustatic	2014-04-22 00:03:04 +0900	CC-BY-NC-SA	http://www.inaturalist.org/observations/635868	https://inaturalist-open-data.s3.amazonaws.com/photos/799739/medium.jpg	Cheniere Caminada, Louisiana, United States	29.172622	-90.079221	NA	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/799739/large.jpg	physalis	0.895454347133636	predicted	NA	NA	physalis
644174	4d0076d3-5901-442c-9b2b-835d92e197e1	2014-04-26	2014-04-27 03:20:28 +0900	Central Time (US & Canada)	31273	Nick Ellis	2014-04-27 05:43:11 +0900	CC-BY-NC	http://www.inaturalist.org/observations/644174	https://inaturalist-open-data.s3.amazonaws.com/photos/811442/medium.jpg	Brazoria County, US-TX, US	29.0286767	-95.1860897	3669	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/811442/large.jpg	physalis	0.84850025177002	predicted	NA	NA	physalis
645856	461365da-f68f-459c-8e75-e58c0ab47062	2014-04-23	2014-04-24 03:46:15 +0900	Central Time (US & Canada)	2281	Cullen Hanks	2014-04-28 06:56:35 +0900	CC0	http://www.inaturalist.org/observations/645856	https://inaturalist-open-data.s3.amazonaws.com/photos/813915/medium.jpg	Calhoun, Texas, United States	28.1496916667	-96.74011	NA	Portuguese Man o' War	Physalia physalis	Animalia	117302	physalis	https://inaturalist-open-data.s3.amazonaws.com/photos/813915/large.jpg	physalis	1	labeled	NA	NA	physalis
765294	164aac17-772f-4927-b76f-87c13eaf8d34	2014-07-02	2014-07-03 10:01:53 +0900	Central Time (US & Canada)	19051	Mallory L. Fontenot	2014-07-03 10:18:16 +0900	CC-BY-NC	http://www.inaturalist.org/observations/765294	https://inaturalist-open-data.s3.amazonaws.com/photos/962344/medium.jpg	Mexico	26.1326666667	-97.1673333333	NA	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/962344/large.jpg	physalis	0.891522526741028	predicted	NA	NA	physalis
769212	fe87ab3d-d933-45bb-ac30-f36fd9e54bb4	2014-05-26	2014-05-27 10:40:46 +0900	Hawaii	31867	colinmorita	2014-07-05 07:55:38 +0900	CC-BY-NC	http://www.inaturalist.org/observations/769212	https://inaturalist-open-data.s3.amazonaws.com/photos/966444/medium.jpg	Kailua Beach/lanikai, Kailua, HI, US	21.396125	-157.72058	NA	Physalia utriculus	Physalia utriculus	Animalia	1631517	utriculus	https://inaturalist-open-data.s3.amazonaws.com/photos/966444/large.jpg	utriculus	1	labeled	NA	NA	utriculus
808271	38daabcd-69ac-44cb-afc4-43d00af57d13	2014-05-19		Pacific Time (US & Canada)	41307		2014-07-30 10:24:16 +0900	CC-BY-NC	http://www.inaturalist.org/observations/808271	https://inaturalist-open-data.s3.amazonaws.com/photos/1018838/medium.JPG	Bathsheba	13.212329	-59.518633	NA	Portuguese Man o' War	Physalia physalis	Animalia	117302	physalis	https://inaturalist-open-data.s3.amazonaws.com/photos/1018838/large.JPG	physalis	0.877076983451843	predicted	NA	NA	physalis
818665	3bf36cad-d992-462f-9a6c-3c1afa156ca0	2013-07-05		Eastern Time (US & Canada)	70	David Remsen	2014-08-06 09:16:30 +0900	CC0	http://www.inaturalist.org/observations/818665	https://inaturalist-open-data.s3.amazonaws.com/photos/1032618/medium.jpg	Woods Hole	41.524676	-70.672066	12	Portuguese Man o' War	Physalia physalis	Animalia	117302	physalis	https://inaturalist-open-data.s3.amazonaws.com/photos/1032618/large.jpg	utriculus	0.669163763523102	predicted	NA	NA	utriculus
832286	cab62a7e-e3ee-4f8f-a7ce-9856605b8c6e	2013-12-03		Mexico City	48257	Jose Vargas	2014-08-16 04:22:40 +0900	CC-BY-NC	http://conabio.inaturalist.org/observations/832286	https://static.inaturalist.org/photos/1052337/medium.JPG	Playa Miramar	22.276369	-97.79318	NA	Fragata Portuguesa	Physalia	Animalia	117305		https://static.inaturalist.org/photos/1052337/large.JPG	physalis	0.833210110664368	predicted	NA	NA	physalis
856538	fb368d21-a656-4199-bbdb-2c622c8021ae	2014-02-04	2014-02-05 09:04:59 +0900	Quito	50911	Keyko Cruz	2014-09-01 11:07:12 +0900	CC-BY-NC	http://www.inaturalist.org/observations/856538	https://static.inaturalist.org/photos/1085835/medium.jpg	Galapagos, Ecuador	-1.004875	-91.081295	265	Physalia utriculus	Physalia utriculus	Animalia	1631517	utriculus	https://static.inaturalist.org/photos/1085835/large.jpg	utriculus	0.818801403045654	predicted	NA	NA	utriculus
867220	cd174403-4bf8-4f1e-b55a-f1d4f78e9e64	2014-09-07	2014-09-08 01:56:23 +0900	Eastern Time (US & Canada)	70	David Remsen	2014-09-08 20:37:38 +0900	CC0	http://www.inaturalist.org/observations/867220	https://inaturalist-open-data.s3.amazonaws.com/photos/1100219/medium.jpg	Aquinnah, Chilmark	41.3821033333	-70.8089916667	NA	Portuguese Man o' War	Physalia physalis	Animalia	117302	physalis	https://inaturalist-open-data.s3.amazonaws.com/photos/1100219/large.jpg	megalista	0.363761574029922	predicted	NA	NA	megalista
949197	d01ef808-f134-4aeb-a260-8e6efeeff55e	2012-12-26		Auckland	57791		2013-01-06 17:09:36 +0900	CC-BY	http://naturewatch.org.nz/observations/346522	https://static.inaturalist.org/photos/1202411/medium.	Doughboy Bay, Stewart Island	-47.0348590753	167.7062559128	264	Man O' Wars	Physalia	Animalia	117305		https://static.inaturalist.org/photos/1202411/large.	utriculus	0.519267201423645	predicted	NA	NA	utriculus
968982	8c8d0862-9591-47a5-a6a5-667d5ebabf19	2013-08-08		Wellington	58338	Peter Shearer	2013-08-08 09:38:33 +0900	CC-BY	http://naturewatch.org.nz/observations/367539	https://static.inaturalist.org/photos/1221878/medium.	makara Beach, Wellington	-41.2202566	174.7132332	2147	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://static.inaturalist.org/photos/1221878/large.	megalista	1	labeled	NA	NA	megalista
970911	c743a8a7-7006-48e9-ba82-e5e2adcc60da	2013-09-05		Auckland	57380	Shona Treanor	2013-09-05 18:07:33 +0900	CC-BY-NC	http://naturewatch.org.nz/observations/369571	https://inaturalist-open-data.s3.amazonaws.com/photos/1224435/medium.	Waimairi beach, Chch, NZ	-43.4864468266	172.7244329453	20	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://inaturalist-open-data.s3.amazonaws.com/photos/1224435/large.	megalista	0.694751679897308	predicted	NA	NA	megalista
974099	ee7fbf1e-17a7-4113-a6b7-81ad6a911fbc	2013-10-15		Wellington	58338	Peter Shearer	2013-10-15 19:14:27 +0900	CC-BY	http://naturewatch.org.nz/observations/372960	https://static.inaturalist.org/photos/1228597/medium.	makara Beach, Wellington	-41.21866228	174.70038414	199	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://static.inaturalist.org/photos/1228597/large.	megalista	1	labeled	NA	NA	megalista
974159	cc68413b-08d7-46b7-9eb8-a5d50cb7dbcd	2013-10-10		Auckland	16490	Tony Wills	2013-10-16 11:14:17 +0900	CC-BY	http://naturewatch.org.nz/observations/373025	https://inaturalist-open-data.s3.amazonaws.com/photos/1228676/medium.	Houghton Bay, Wellington	-41.3424939793	174.7839639532	20	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://inaturalist-open-data.s3.amazonaws.com/photos/1228676/large.	megalista	1	labeled	NA	NA	megalista
974521	89ca9ae3-089a-41cd-ac20-28c3ce8a84c5	2013-10-22		Auckland	57857	Gillian Candler	2013-10-23 05:04:41 +0900	CC-BY	http://naturewatch.org.nz/observations/373405	https://static.inaturalist.org/photos/1189541/medium.JPG	Pukerua Bay	-41.028995903	174.8948335648	NA	Man O' Wars	Physalia minuta	Animalia	1631518	minuta	https://static.inaturalist.org/photos/1189541/large.JPG	megalista	0.732020139694214	predicted	NA	NA	megalista
976917	81b36c94-5ba9-4b2f-a8c6-2009cee10762	2013-11-16		Auckland	16490	Tony Wills	2013-11-18 11:17:56 +0900	CC-BY	http://naturewatch.org.nz/observations/375834	https://inaturalist-open-data.s3.amazonaws.com/photos/1232552/medium.	Sirens Rocks, Wellington	-41.3490386869	174.764917078	40	Bluebottle	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/1232552/large.	utriculus	0.61592173576355	predicted	NA	NA	utriculus
976918	63c8cb12-d2d9-4054-b85b-2c1263f9ed82	2013-11-16		Auckland	16490	Tony Wills	2013-11-18 11:28:55 +0900	CC-BY	http://naturewatch.org.nz/observations/375835	https://inaturalist-open-data.s3.amazonaws.com/photos/1232553/medium.	Sirens Rocks, Wellington	-41.349039	174.764917	40	Bluebottle	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/1232553/large.	utriculus	0.707563281059265	predicted	NA	NA	utriculus
976919	77b68b2c-9e12-4f35-8f5b-8b04d545ecb6	2013-11-16		Auckland	16490	Tony Wills	2013-11-18 11:34:24 +0900	CC-BY	http://naturewatch.org.nz/observations/375836	https://inaturalist-open-data.s3.amazonaws.com/photos/1232555/medium.	Sirens Rocks, Wellington	-41.3490386869	174.764917078	40	Physalia minuta	Physalia minuta	Animalia	1631518	minuta	https://inaturalist-open-data.s3.amazonaws.com/photos/1232555/large.	utriculus	0.664013147354126	predicted	NA	NA	utriculus
979714	db7c0acf-ba8b-48b9-9e79-6163e9f789a8	2013-12-14		Auckland	5302	Colin Meurk	2013-12-16 10:16:36 +0900	CC-BY	http://naturewatch.org.nz/observations/378813	https://inaturalist-open-data.s3.amazonaws.com/photos/1236815/medium.	Waikuku Beach, Canterbury	-43.2822309831	172.7237969466	25	Physalia minuta	Physalia minuta	Animalia	1631518	minuta	https://inaturalist-open-data.s3.amazonaws.com/photos/1236815/large.		0.440086185932159	corrected_inital		corrected_inital	utriculus
981099	7cd7990c-7fae-44c2-a798-4af32c05923e	2013-12-29		Auckland	57604	Grahame	2013-12-29 18:48:10 +0900	CC-BY-NC-ND	http://naturewatch.org.nz/observations/380225	https://inaturalist-open-data.s3.amazonaws.com/photos/1238468/medium.	South Brighton Beach, Christchurch	-43.5294935026	172.7416098118	NA	Physalia minuta	Physalia minuta	Animalia	1631518	minuta	https://inaturalist-open-data.s3.amazonaws.com/photos/1238468/large.	minuta	1	labeled	NA	NA	minuta
982059	b6052511-5e2b-48eb-b6e1-c373d701772f	2013-12-26		Auckland	57852	Jared Waters	2014-01-06 15:03:10 +0900	CC-BY	http://naturewatch.org.nz/observations/381246	https://static.inaturalist.org/photos/1239531/medium.	Bethells Beach	-36.8925954508	174.443385601	NA	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://static.inaturalist.org/photos/1239531/large.	megalista	NA	corrected_inital	megalista	corrected_inital	NA
982717	deed7c69-bf42-4fa7-9c5c-c67832bead63	2014-01-03		Auckland	57756	John Barkla	2014-01-10 08:22:52 +0900	CC0	http://naturewatch.org.nz/observations/381914	https://inaturalist-open-data.s3.amazonaws.com/photos/1240294/medium.	Hannahs Clearing, South Westland	-43.9281899968	168.8678455353	NA	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://inaturalist-open-data.s3.amazonaws.com/photos/1240294/large.	megalista	1	labeled	NA	NA	megalista
983011	98e799b8-31bd-4bf4-a361-bb4de7c1ea03	2014-01-11		Auckland	57754	Leon Perrie	2014-01-11 14:30:29 +0900	CC-BY-NC-SA	http://naturewatch.org.nz/observations/382211	https://inaturalist-open-data.s3.amazonaws.com/photos/1240595/medium.	beach between Plimmerton and Pukerua Bay.	-41.0426334733	174.8627144042	836	Physalia minuta	Physalia minuta	Animalia	1631518	minuta	https://inaturalist-open-data.s3.amazonaws.com/photos/1240595/large.	physalis	0.764980375766754	predicted	NA	NA	physalis
1007021	b4428097-8363-4cf8-a689-77a6ab3d1a00	2014-07-02		Wellington	58338	Peter Shearer	2014-07-02 11:01:28 +0900	CC-BY	http://naturewatch.org.nz/observations/410908	https://static.inaturalist.org/photos/1268149/medium.	makara beach	-41.217932388	174.7084266814	724	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://static.inaturalist.org/photos/1268149/large.		0.776068210601807	corrected_inital		corrected_inital	minuta
1020976	3da4a201-9638-4f3a-a92e-cf7202b24763	2014-04-23		Central Time (US & Canada)	52756	Fabio Moretzsohn	2014-10-16 14:21:05 +0900	CC-BY-NC	http://www.inaturalist.org/observations/1020976	https://inaturalist-open-data.s3.amazonaws.com/photos/1273069/medium.JPG	Port Aransas, Texas	27.805981	-97.072772	2149	Man O' Wars	Physalia	Animalia	117305		https://inaturalist-open-data.s3.amazonaws.com/photos/1273069/large.JPG	physalis	0.888455808162689	predicted	NA	NA	physalis
1041548	5b728ad3-9c81-4d38-9644-9f09f7cac82b	2014-10-27	2014-10-27 10:32:13 +0900	Sydney	2991		2014-10-28 10:04:05 +0900	CC-BY	http://www.inaturalist.org/observations/1041548	https://inaturalist-open-data.s3.amazonaws.com/photos/1327017/medium.JPG	Sydney Harbour National Park, New South Wales, Australia	-33.853346	151.245781	27	Southern Man-O-War	Physalia megalista	Animalia	1631519	megalista	https://inaturalist-open-data.s3.amazonaws.com/photos/1327017/large.JPG	megalista	1	labeled	NA	NA	megalista
1054234	6df6d516-da19-471e-ad3e-8f9f842a28cd	2014-11-03	2014-11-03 11:18:21 +0900	Nuku'alofa	1	Ken-ichi Ueda	2014-11-04 16:49:57 +0900	CC0	http://www.inaturalist.org/observations/1054234	https://inaturalist-open-data.s3.amazonaws.com/photos/1322284/medium.jpg	Punakaiki Marine Reserve, NZ-WC-BU, NZ-WC, NZ	-42.090037	171.338538	5	Physalia minuta	Physalia minuta	Animalia	1631518	minuta	https://inaturalist-open-data.s3.amazonaws.com/photos/1322284/large.jpg	minuta	1	labeled	NA	NA	minuta
