sequence	length	ok	18S_ribosomal_RNA	internal_transcribed_spacer_1	5.8S_ribosomal_RNA	internal_transcribed_spacer_2	28S_ribosomal_RNA
YPM-IZ-110569	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110600	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110602	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110605	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110612	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110613	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110616	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110631	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110633	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110667	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110694	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110716	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110726	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110738	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110777	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110780	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110785	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110786	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110828	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-110829	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-110830	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110842	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110843	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110844	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110845	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110846	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110847	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110876	865	yes	1..152	153..386	387..540	541..865	
YPM-IZ-110877	879	yes	1..152	153..402	403..556	557..879	
YPM-IZ-110878	874	yes	1..152	153..397	398..551	552..874	
YPM-IZ-110880	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-110881	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110882	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110883	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110906	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110907	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110925	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110926	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110930	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110931	879	yes	1..152	153..402	403..556	557..879	
YPM-IZ-110933	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110937	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110938	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-110943	879	yes	1..152	153..402	403..556	557..879	
YPM-IZ-110972	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111006	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-111007	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-111008	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-111009	878	yes	1..152	153..401	402..555	556..878	
YPM-IZ-111010	857	yes	1..152	153..394	395..548	549..857	
YPM-IZ-111012	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111013	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111014	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111016	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111017	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111018	863	yes	1..152	153..386	387..540	541..863	
YPM-IZ-111156	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111157	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111158	869	yes	1..152	153..394	395..548	549..869	
YPM-IZ-111159	871	yes	1..152	153..396	397..550	551..871	
YPM-IZ-111160	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111163	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-111207	887	yes	1..152	153..412	413..566	567..887	
YPM-IZ-111208	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111209	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111210	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111220	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111231	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111241	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111243	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111256	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111261	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111495	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111513	869	yes	1..152	153..394	395..548	549..869	
YPM-IZ-111514	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111517	857	yes	1..152	153..394	395..548	549..857	
YPM-IZ-111518	857	yes	1..152	153..394	395..548	549..857	
YPM-IZ-111519	869	yes	1..152	153..394	395..548	549..869	
YPM-IZ-111520	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111521	869	yes	1..152	153..394	395..548	549..869	
YPM-IZ-111529	869	yes	1..152	153..394	395..548	549..869	
YPM-IZ-111530	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111539	871	yes	1..152	153..396	397..550	551..871	
YPM-IZ-111547	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-111759	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111760	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111806	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111813	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-111814	871	yes	1..152	153..396	397..550	551..871	
YPM-IZ-111816	869	yes	1..152	153..394	395..548	549..869	
YPM-IZ-111819	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111820	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111822	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111825	867	yes	1..152	153..392	393..546	547..867	
YPM-IZ-111839	879	yes	1..152	153..402	403..556	557..879	
YPM-IZ-111840	875	yes	1..152	153..398	399..552	553..875	
YPM-IZ-115977	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-115978	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-115980	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-115990	888	yes	1..152	153..413	414..567	568..888	
YPM-IZ-116019	869	yes	1..152	153..394	395..548	549..869	
